name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Materdei,-4.4690518,15.2243459,safe,19.1,Strategic development,2024-01-03,435579834
Institut de Kinkole,-4.3216269,15.5163084,safe,22.88,Strategic development,2024-01-03,583344995
Lycée catholique,2.7952524,24.7376833,safe,703.41,Battle,2024-01-01,655933898
Petit séminaire Sainte Thérèse,3.1832605,27.8657858,safe,560.26,Battle,2024-01-01,708413265
École Catholique,-4.3224534,15.5169931,safe,22.95,Strategic development,2024-01-03,789373903
Centre Scolare Pingu II,-4.4298913,15.3716211,safe,14.0,Strategic development,2024-01-03,803232064
École,-4.4316456,15.3672222,safe,13.94,Strategic development,2024-01-03,803246740
École,-4.4319023,15.3678874,safe,14.0,Strategic development,2024-01-03,803246748
Complexe scolaire Mère Theresa Tito,-4.4330361,15.3664712,safe,14.04,Strategic development,2024-01-03,803246752
Complexe scolaire Bualu,-4.4351755,15.3663457,safe,14.25,Strategic development,2024-01-03,803265122
Institut Kisantu,-4.4202186,15.3915973,safe,14.35,Strategic development,2024-01-03,822140614
École Toco 2,-4.4197512,15.3904829,safe,14.24,Strategic development,2024-01-03,822140618
Collège Saint-Louis,-5.8878442,22.4486644,safe,803.56,Violence against civilians,2024-01-02,934813665
Athénée,-5.8910786,22.4171816,safe,806.27,Strategic development,2024-01-03,934840866
École ITP Passio,-4.4046477,15.4070665,safe,14.3,Strategic development,2024-01-03,944857352
Ecole Primaire Biyela,-4.4189146,15.3926001,safe,14.31,Strategic development,2024-01-03,944861514
Lycée Bankazi,-5.2516333,14.8625144,safe,114.85,Strategic development,2024-01-03,1146978927
École primaire Luzolo,-5.2557255,14.855603,safe,115.59,Strategic development,2024-01-03,1146978930
LycéE Kivuvu,-5.258717,14.8593796,safe,115.71,Strategic development,2024-01-03,1146978937
ITC BADIKA,-5.2551534,14.8640079,safe,115.13,Strategic development,2024-01-03,1146978942
École primaire Kivuvu,-5.2572415,14.8588099,safe,115.59,Strategic development,2024-01-03,1146978965
Collège Wando,3.5995384,28.5749679,safe,590.32,Battle,2024-01-01,1154230417
Ecole primaire Mapatano II,-11.6994167,27.4848056,safe,1033.94,Violence against civilians,2024-01-02,1197330647
Ecole primaire Kamakanga,-11.8230278,27.5875278,safe,1045.97,Violence against civilians,2024-01-02,1197330648
Ecole primaire Matayarisho 3,-10.9740833,26.7079167,safe,971.46,Violence against civilians,2024-01-02,1197330652
Ecole primaire Mumea,-10.9625556,26.7234444,safe,969.8,Violence against civilians,2024-01-02,1197330653
École primaire Tumbwe,-11.4733056,27.3861389,safe,1010.75,Violence against civilians,2024-01-02,1197330656
École primaire Fikupa,-11.949,27.5284444,safe,1060.72,Violence against civilians,2024-01-02,1197330658
École primaire Mapatano I,-11.6996667,27.4852778,safe,1033.96,Violence against civilians,2024-01-02,1197330661
Ecole primaire Lumiere Du Christ,-10.7866111,25.6186111,safe,988.02,Violence against civilians,2024-01-02,1197330662
École primaire Lumière Du Christ 6,-10.8508759,25.4513542,safe,1001.44,Violence against civilians,2024-01-02,1197330668
Ecole primaire Matendo I,-10.9826944,26.7688056,safe,970.77,Violence against civilians,2024-01-02,1197330670
Ecole primaire Kamalondo III,-11.6846667,27.4865,safe,1032.29,Violence against civilians,2024-01-02,1197330671
Ecole primaire Ciboko,-11.7110833,27.4548889,safe,1035.7,Violence against civilians,2024-01-02,1197330672
Ecole primaire Mwanzo,-10.9863889,26.7937778,safe,970.53,Violence against civilians,2024-01-02,1197330674
École primaire Mukoma,-11.6504722,27.3256389,safe,1031.27,Violence against civilians,2024-01-02,1197330675
École primaire Nuru,-10.9605278,26.7325833,safe,969.34,Violence against civilians,2024-01-02,1197330676
École primaire Vumilia,-10.9871389,26.7807778,safe,970.94,Violence against civilians,2024-01-02,1197330681
École primaire Maua,-11.70625,27.4837222,safe,1034.7,Violence against civilians,2024-01-02,1197330682
Ecole primaire Daima,-11.697,27.4754722,safe,1033.82,Violence against civilians,2024-01-02,1197330687
Ecole primaire Lumiere Du Christ 1,-10.96225,25.4619722,safe,1012.48,Violence against civilians,2024-01-02,1197330688
Ecole primaire Nuru Ya Lwanga,-10.9816111,26.7069722,safe,972.29,Violence against civilians,2024-01-02,1197330689
Ecole primaire Amani,-11.7061389,27.4835833,safe,1034.69,Violence against civilians,2024-01-02,1197330693
École primaire Mampala,-11.6958665,27.4756719,safe,1033.69,Violence against civilians,2024-01-02,1197330694
Ecole primaire Tupendane,-10.9699722,26.72675,safe,970.51,Violence against civilians,2024-01-02,1197330697
Ecole primaire Butungwa,-11.7590278,27.5639444,safe,1039.27,Violence against civilians,2024-01-02,1197330698
École primaire Mangi,-10.8020556,25.4793333,safe,995.26,Violence against civilians,2024-01-02,1197330701
Ecole primaire Bahati II,-10.983238,26.7677504,safe,970.86,Violence against civilians,2024-01-02,1197330703
Ecole primaire Kamalondo I,-11.6805278,27.4854444,safe,1031.85,Violence against civilians,2024-01-02,1197330705
Ecole primaire Mapinduzi I,-11.6917732,27.479245,safe,1033.18,Violence against civilians,2024-01-02,1197330706
École primaire St Bartelemy,-10.9691111,26.7118889,safe,970.81,Violence against civilians,2024-01-02,1197330708
Ecole primaire Kamalondo II,-11.6798889,27.4853056,safe,1031.78,Violence against civilians,2024-01-02,1197330709
École primaire Shibukeni,-11.7395237,27.5639854,safe,1037.12,Violence against civilians,2024-01-02,1197330712
Ecole primaire Kilubula,-10.9882222,26.7750556,safe,971.21,Violence against civilians,2024-01-02,1197330714
Ecole primaire Lwafu,-10.94325,26.9581944,safe,961.77,Violence against civilians,2024-01-02,1197330715
École primaire Mikombo,-11.84875,27.5606111,safe,1049.2,Violence against civilians,2024-01-02,1197330719
Ecole primaire Luboto 2,-12.2509722,27.6428611,safe,1092.38,Violence against civilians,2024-01-02,1197330720
Ecole primaire Mapinduzi II,-11.6915556,27.4794444,safe,1033.16,Violence against civilians,2024-01-02,1197330722
