osm_id,latitude,longitude,addr:city,addr:country,addr:district,addr:housenumber,addr:postcode,addr:province,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,attribution,barrier,building,check_date,comment,conflict_date,conflict_type,contact:email,contact:facebook,date,denomination,description,education,fixme,grades,is_in:admin_level7,is_in:admin_level8,isced:level,min_age,name,name:en,name:fr,nearest_conflict_dist_km,note,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,religion,school:CD,school:gender,short_name,source,source:date,source:name,source_ref,surface,survey:date,type,website,wheelchair,wikidata,wikimedia_commons,wikipedia
440111691,-4.3053231,15.3147319,,,,,,,,,,,school,,,,2023-05-06,,2024-01-03,Strategic development,,,,,,,,,,,,,Institute Georges Simenon,,,1.71,,,,,,440111691,node,,,,,,,,,,,,,,,,,
715858834,-4.3457112,15.293557,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,École St-Louis,,,3.39,,,,,,715858834,node,,,,,,,,,,,,,,,,,
715858837,-4.3475774,15.2929726,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,École officielle,,,3.6,,,,,,715858837,node,,,,,,,,,,,,,,,,,
715862489,-4.3531403,15.2903763,Kinshasa,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Institut Diangenda,,,4.28,,,,,,715862489,node,,,,,,,,,,,,,,,,,
715863893,-4.3605004,15.3014055,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,École officielle,,,4.6,,,,,,715863893,node,,,,,,,,,,,,,,,,,
1235015496,-2.5266621,28.8299278,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Mulwa,,,3.71,,,,,,1235015496,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235015522,-2.5100556,28.8450556,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Camp Mweze,,,1.25,,,,,,1235015522,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235015694,-2.5257778,28.8571111,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Nyanja,,,2.97,,,,,,1235015694,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235015951,-2.5122393,28.8478166,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Ntwali,,,1.38,,,,,,1235015951,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235016322,-2.5183889,28.8458611,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Nyakaliba,,,2.1,,,,,,1235016322,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235016379,-2.5193611,28.8561667,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,École Primaire Hodari,,École Primaire Hodari,2.26,,,,,,1235016379,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235016730,-2.5210833,28.8588333,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,École primaire Elimu,,,2.54,,,,,,1235016730,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017145,-2.5170556,28.8553333,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,École Primaire Nidunga,,École Primaire Nidunga,1.99,,,,,,1235017145,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017167,-2.5117049,28.8482021,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,École primaire Ulindi,,,1.32,,,,,,1235017167,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017248,-2.5189722,28.8490278,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Kahuwa,,,2.11,,,,,,1235017248,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017396,-2.5163333,28.8436389,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Furaha,,,1.95,,,,,,1235017396,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017581,-2.5274167,28.8572778,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Ecole primaire Tuendelee,,,3.15,,,,,,1235017581,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017597,-2.4989352,28.8875337,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,École Primaire Nguba,,École Primaire Nguba,4.17,,,,,,1235017597,node,,,primaire,,,GPS,2010/04/21,,www.rgc.cd,,,,,,,,
1235017763,-2.4757041,28.8379998,,,,,,,,,,,school,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Bwindi,,,3.01,,,,,,1235017763,node,,,,,,GPS,2008/05/12,,www.rgc.cd,,,,,,,,
2273728699,-4.3566188,15.3091004,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Complexe scolaire St Vincent,,,4.07,,,,,,2273728699,node,,,,,,,,,,,,,,,,,
2299738119,-4.3398453,15.2772631,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Saint Michel,,,4.25,,,,,,2299738119,node,,,,,,,,,,,,,,yes,,,
2299738122,-4.3406895,15.2757864,,,,,,,,,,,school,,,,2025-06-18,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Publique Saint Jean Baptiste,,,4.44,,,,,,2299738122,node,,,,,,,,,,,,,,,,,
2299738130,-4.3457856,15.2785116,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Institut Salongo,,,4.52,,,,,,2299738130,node,,,,,,,,,,,,,,,,,
2299738135,-4.3458101,15.2776009,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,EP1 Ngoma,,,4.6,,,,,,2299738135,node,,,,,,,,,,,,,,,,,
2299738186,-4.3416957,15.2772237,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,,,,4.36,,,,,,2299738186,node,,,,,,,,,,,,,,,,,
2953314337,-4.3151921,15.3263021,kinshasa,,,,243,,Luanga,,,,school,,,,2023-05-19,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège saint charles luanga,,,1.88,,,,,,2953314337,node,,,,,,,,,,,,,,,,,
3477493250,-4.3084113,15.2916664,,,,,,,,,,,school,,,,2023-05-13,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Les Saphirs,,,2.41,,,,,,3477493250,node,,,,,,,,,,,,,,,,,
4235751684,-4.3509125,15.2841388,Kinshasa,,,,,,Avenue Mgr. Kimbombo,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Joyeux Lutins,,,4.48,,,,,,4235751684,node,,,,,,,,,,,,,,,,,
4469949070,-4.3581576,15.3005393,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Saint Pie X,,,4.37,,,,,,4469949070,node,,,,,,,,,,,,,,,,,
4483772304,-4.3562828,15.2960158,,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Collège Petit Prince,,,4.32,,,,,,4483772304,node,,,,,,,,,,,,,,,,,
4587841796,-2.5063935,28.845158,,,,,,,,,,,school,,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,ITFM: Institut Technique Fundi Maendeleo,,ITFM: Institut Technique Fundi Maendeleo,0.89,,,Mo-Fr 07:00-18:00; Sa 07:00-12:00,,,4587841796,node,,,,,,,,,,,,,https://www.fracarita-international.org/institut-technique-fundi-maendeleo-,,,,
4866013704,-4.3087366,15.3178623,,,,,,,,,,,school,,,,2023-05-06,,2024-01-03,Strategic development,,,,,,,,,,,,,École portuguaise,,École portuguaise,1.53,,,,,,4866013704,node,,,,,,,,,,,,,,,,,
4945976043,-4.3004859,15.3160161,,,,1,,,avenue Isiro,,,,school,,,,,,2024-01-03,Strategic development,,,,roman_catholic,,,,,,,,,Collège Saint Joseph,Saint Joseph College,,2.27,,,,Archidiocèse de Kinshasa,religious,4945976043,node,,christian,,,,,,,,,,,,,,,
4950829794,-2.5188995,28.8494808,Bukavu,,,,,,Avenue Liesnard,,,,school,,,,,,2024-01-02,Violence against civilians,,,,,,,,,,,,,Institut Fadhili,,,2.1,,,,CEPAC,,4950829794,node,,,,,,,,,,,,,,,,,
5109221813,-4.3447082,15.2743345,Kinshasa,,,,,,,,,,school,,,,,,2024-01-03,Strategic development,,,,,,,,,,,,,Ecole Mpieko,,,4.82,,,,Etablissement scolaire,,5109221813,node,,,,,,,,,,,,,,,,,
